epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.73926,1.38891,3.13487,1.38711,0.00464,0.39423,0.16392,0.11036,1.43961,3.35018,1.1749,3.334e-05,3.334e-05,3.334e-05
2,4.98336,1.3719,3.24171,1.30567,0.00522,0.42308,0.22233,0.15307,1.43466,3.32577,1.17687,8.05995e-05,8.05995e-05,8.05995e-05
3,6.13271,1.2219,2.92245,1.23512,0.00589,0.47692,0.30056,0.17502,1.36328,3.24396,1.11703,0.000124558,0.000124558,0.000124558
4,7.29162,1.29247,2.57563,1.21263,0.00641,0.52115,0.30441,0.17047,1.37871,3.16766,1.12781,0.000165216,0.000165216,0.000165216
5,8.95434,1.24134,2.01877,1.22276,0.00622,0.49615,0.30055,0.19838,1.44979,3.02885,1.1474,0.000202574,0.000202574,0.000202574
6,10.6484,1.13288,1.68726,1.19639,0.90438,0.11619,0.31586,0.21663,1.48661,2.92479,1.15288,0.000236631,0.000236631,0.000236631
7,11.7957,1.24324,1.62644,1.18948,1,0.13082,0.35812,0.23234,1.53132,2.87062,1.1691,0.000267387,0.000267387,0.000267387
8,12.992,1.24582,1.59669,1.20295,0.89134,0.11241,0.36615,0.22386,1.53187,2.85584,1.16976,0.000294842,0.000294842,0.000294842
9,14.0963,1.17695,1.41862,1.16778,0.87771,0.2273,0.37694,0.22104,1.60819,2.97149,1.21836,0.000318997,0.000318997,0.000318997
10,15.2236,1.13439,1.38537,1.16605,0.90758,0.11566,0.38397,0.20153,1.70269,3.02125,1.25496,0.000339851,0.000339851,0.000339851
11,16.345,1.03177,1.30681,1.14496,0.94035,0.22198,0.37086,0.21779,1.63719,2.98913,1.2398,0.000357405,0.000357405,0.000357405
12,17.6722,1.13368,1.38775,1.19396,0.9095,0.11284,0.37459,0.22002,1.63337,2.97329,1.24196,0.000371658,0.000371658,0.000371658
13,18.8063,1.11906,1.57495,1.28465,1,0.1834,0.36802,0.25512,1.59013,2.89034,1.21066,0.00038261,0.00038261,0.00038261
14,19.9618,1.09309,1.34474,1.15968,1,0.1841,0.373,0.25571,1.56657,2.86873,1.19184,0.000390261,0.000390261,0.000390261
15,21.5016,1.03245,1.30156,1.17105,0.98961,0.27619,0.38157,0.25474,1.56865,2.85893,1.20762,0.000394612,0.000394612,0.000394612
16,23.0725,1.08406,1.35058,1.17838,0.94723,0.3067,0.38282,0.24979,1.61929,2.82634,1.223,0.000395662,0.000395662,0.000395662
17,24.5257,0.99171,1.29412,1.10938,0.93732,0.24488,0.36085,0.23733,1.61696,2.71382,1.21711,0.000393412,0.000393412,0.000393412
18,25.6152,0.8684,1.19391,1.07226,0.94873,0.29332,0.36981,0.2249,1.66858,2.64226,1.2497,0.000387861,0.000387861,0.000387861
19,26.7072,1.06431,1.34248,1.11604,0.83183,0.27921,0.35788,0.21775,1.67877,2.53,1.2662,0.000379009,0.000379009,0.000379009
20,28.5393,1.06645,1.17743,1.11282,0.84082,0.32692,0.40508,0.21885,1.69761,2.42798,1.27036,0.000366857,0.000366857,0.000366857
21,31.6768,0.95315,1.55456,1.10354,0.8515,0.3107,0.37582,0.23031,1.69114,2.43452,1.2954,0.000351404,0.000351404,0.000351404
22,32.9165,0.97158,1.42371,1.13048,0.82164,0.28654,0.36818,0.24206,1.65917,2.4275,1.28662,0.00033265,0.00033265,0.00033265
23,34.3232,0.96884,1.43722,1.07917,0.87476,0.30984,0.39127,0.25313,1.66334,2.44289,1.28255,0.000310595,0.000310595,0.000310595
24,36.0234,0.88297,1.55246,1.06465,0.86289,0.29112,0.37763,0.25678,1.65154,2.45362,1.26128,0.00028524,0.00028524,0.00028524
25,37.27,0.88032,1.4439,1.03951,0.92192,0.31883,0.40656,0.25883,1.65428,2.41502,1.27501,0.000256585,0.000256585,0.000256585
26,38.7778,0.84021,1.41273,1.00504,0.92091,0.32032,0.42255,0.26507,1.66909,2.35076,1.29434,0.000224628,0.000224628,0.000224628
27,40.1798,0.80565,1.35202,1.01101,0.88373,0.34766,0.43364,0.26989,1.68328,2.28191,1.30983,0.000189371,0.000189371,0.000189371
28,41.5162,0.85966,1.28496,1.07789,0.82823,0.3607,0.46057,0.27978,1.68907,2.22105,1.32356,0.000150813,0.000150813,0.000150813
29,42.6384,0.82871,1.28238,1.0212,0.82823,0.3607,0.46057,0.27978,1.68907,2.22105,1.32356,0.000108955,0.000108955,0.000108955
30,43.7212,0.87095,1.30096,0.99562,0.7947,0.36923,0.48714,0.29247,1.68462,2.14488,1.3334,6.37961e-05,6.37961e-05,6.37961e-05
